"TIMESTAMP"	"VWC_5cm"	"VWC_10cm"	"VWC_20cm"	"VWC_30cm"	"VWC_40cm"	"VWC_50cm"	"VWC_60cm"	"VWC_75cm"	"VWC_100cm"
"2025-04-24 03:15:00"	0.1175313	0.0255023	0.1501539	0.1991068	0.2269196	0.2520861	0.2697414	0.2854778	0.3826669
"2025-04-24 03:30:00"	0.1186384	0.0258748	0.1498115	0.1957655	0.2287083	0.249154	0.2717655	0.2861656	0.3809961
"2025-04-24 03:45:00"	0.1186971	0.0236899	0.1501512	0.196183	0.22928	0.2495838	0.2721533	0.2864617	0.382213
"2025-04-24 04:00:00"	0.11833	0.024475	0.1478827	0.1946813	0.2313129	0.2520443	0.2685009	0.2869346	0.3845476
"2025-04-24 04:15:00"	0.1196019	0.0249313	0.1484609	0.1974916	0.230686	0.2514644	0.2722605	0.2890927	0.3825291
"2025-04-24 04:30:00"	0.1197212	0.0229965	0.1481664	0.1963972	0.2342507	0.2523975	0.2724029	0.2879859	0.3826701
"2025-04-24 04:45:00"	0.1201756	0.0266313	0.1502205	0.1960362	0.231303	0.2539682	0.272513	0.2890824	0.3832714
"2025-04-24 05:00:00"	0.1204265	0.0266722	0.1495492	0.1959066	0.230019	0.2480928	0.2735035	0.2883066	0.3806202
"2025-04-24 05:15:00"	0.1141509	0.0282232	0.1468773	0.1976432	0.2317552	0.2510864	0.2714433	0.286064	0.3829729
"2025-04-24 05:30:00"	0.1176578	0.023099	0.151614	0.1963059	0.2319085	0.2484036	0.2703947	0.2914123	0.3826871
"2025-04-24 05:45:00"	0.1219784	0.0236741	0.148971	0.1954778	0.2312657	0.2489927	0.2712253	0.2879461	0.3809891
"2025-04-24 06:00:00"	0.1195199	0.0273516	0.1483927	0.1967288	0.2304963	0.2527152	0.2719634	0.2864826	0.3823461
"2025-04-24 06:15:00"	0.117386	0.0249083	0.1488884	0.1964782	0.2286066	0.2516106	0.2703634	0.289861	0.38123
"2025-04-24 06:30:00"	0.118192	0.0247358	0.1484522	0.197777	0.2276411	0.252348	0.2704614	0.2873019	0.3822102
"2025-04-24 06:45:00"	0.1197733	0.0265379	0.1506767	0.1963917	0.2315635	0.2528902	0.2702022	0.2870189	0.3830077
"2025-04-24 07:00:00"	0.1181345	0.0248307	0.1501202	0.1997233	0.2301868	0.2490604	0.2705483	0.2898491	0.38206
"2025-04-24 07:15:00"	0.1193099	0.0248049	0.1481975	0.196877	0.2301486	0.2506227	0.271713	0.2872649	0.3807014
"2025-04-24 07:30:00"	0.1202445	0.0252515	0.1483982	0.1967479	0.2290754	0.2518969	0.2717808	0.288008	0.3807453
"2025-04-24 07:45:00"	0.118824	0.0267126	0.1509138	0.1992766	0.2321083	0.2508278	0.2707954	0.28837	0.3814932
"2025-04-24 08:00:00"	0.1188637	0.0235222	0.1496192	0.1966816	0.2302289	0.2527266	0.2698063	0.2885983	0.3812008
"2025-04-24 08:15:00"	0.1188792	0.0252707	0.1498553	0.1957664	0.2312462	0.2518848	0.2707006	0.287672	0.3801761
"2025-04-24 08:30:00"	0.1215951	0.0268715	0.150578	0.1963413	0.2310177	0.2510047	0.2746584	0.2876596	0.3803754
"2025-04-24 08:45:00"	0.1204545	0.0246578	0.1481513	0.1979655	0.2317209	0.2507839	0.2704038	0.2871758	0.381219
"2025-04-24 09:00:00"	0.1212243	0.025878	0.1500587	0.1977554	0.2297904	0.2517669	0.2727657	0.2860732	0.3819952
"2025-04-24 09:15:00"	0.1213059	0.0262704	0.151298	0.1965862	0.2293784	0.2528876	0.2724541	0.289769	0.3833624
"2025-04-24 09:30:00"	0.1205999	0.025829	0.1493051	0.1966273	0.2307011	0.2504294	0.2713638	0.2877988	0.3820623
"2025-04-24 09:45:00"	0.1204658	0.0252936	0.1470225	0.1976813	0.2299036	0.2521422	0.269293	0.2886252	0.3793124
"2025-04-24 10:00:00"	0.1212487	0.0242197	0.1494159	0.1953984	0.2291463	0.2519147	0.2718756	0.286292	0.3835924
"2025-04-24 10:15:00"	0.1215012	0.0228604	0.149385	0.1952158	0.230774	0.2523238	0.2703822	0.2865026	0.3817698
"2025-04-24 10:30:00"	0.1185195	0.0239914	0.1497893	0.196068	0.2319852	0.2514381	0.2705989	0.2854179	0.3791476
"2025-04-24 10:45:00"	0.1191882	0.02764	0.1490531	0.195352	0.231655	0.2518092	0.2721575	0.2866969	0.3834449
"2025-04-24 11:00:00"	0.1192979	0.025957	0.1501492	0.19738	0.2310035	0.2537242	0.2721482	0.2898533	0.382325
"2025-04-24 11:15:00"	0.1210661	0.0246207	0.1508947	0.1976942	0.2302974	0.2488676	0.2718013	0.2887399	0.3811364
"2025-04-24 11:30:00"	0.1217597	0.026936	0.1482253	0.1977853	0.2280397	0.2526512	0.269101	0.286858	0.3824013
"2025-04-24 11:45:00"	0.121824	0.0285056	0.1494176	0.1953808	0.2311022	0.2506352	0.2706091	0.2879362	0.3818173
"2025-04-24 12:00:00"	0.1178047	0.0270861	0.1486802	0.1949973	0.2299655	0.2527297	0.2723724	0.2853709	0.3817285
"2025-04-24 12:15:00"	0.1175897	0.0268146	0.1494521	0.1950937	0.231128	0.2506435	0.2717702	0.2902577	0.3810146
"2025-04-24 12:30:00"	0.1196932	0.0262029	0.1483985	0.1971401	0.22733	0.2517363	0.2723636	0.2866413	0.3808564
"2025-04-24 12:45:00"	0.1188912	0.0282906	0.1507084	0.1983851	0.2313166	0.2519263	0.2731116	0.286315	0.3824829
"2025-04-24 13:00:00"	0.1185936	0.0272782	0.1502518	0.195127	0.2295808	0.2516185	0.2703918	0.2860489	0.3816892
"2025-04-24 13:15:00"	0.1186974	0.0257802	0.1482171	0.1955594	0.2317935	0.2527492	0.2694591	0.2876741	0.381786
"2025-04-24 13:30:00"	0.1170454	0.0256047	0.1496013	0.1967833	0.2286659	0.2527735	0.2720135	0.2876184	0.382668
"2025-04-24 13:45:00"	0.1201554	0.0271905	0.1466101	0.1972442	0.2324024	0.2528546	0.2711173	0.286277	0.3826459
"2025-04-24 14:00:00"	0.1159342	0.0260497	0.1482645	0.1973094	0.2297026	0.2526296	0.2729318	0.2878637	0.3820929
