"TIMESTAMP"	"VWC_5cm"	"VWC_10cm"	"VWC_20cm"	"VWC_30cm"	"VWC_40cm"	"VWC_50cm"	"VWC_60cm"	"VWC_75cm"	"VWC_100cm"
"2025-04-23 08:00:00"	0.0375516	0.0569332	0.1916734	0.2303964	0.2112555	0.3286653	0.3526632	0.3821665	0.3742025
"2025-04-23 08:15:00"	0.0362913	0.0579489	0.1920811	0.2289152	0.2145031	0.3308182	0.3533101	0.379369	0.3755169
"2025-04-23 08:30:00"	0.0356495	0.0589562	0.1903228	0.2297997	0.2131099	0.3273574	0.3527876	0.3783095	0.3744539
"2025-04-23 08:45:00"	0.0348428	0.0569153	0.1925118	0.2301927	0.2114841	0.3286334	0.3534984	0.3807475	0.3709488
"2025-04-23 09:00:00"	0.0375274	0.0585757	0.1922225	0.2300932	0.2117237	0.3283646	0.3532754	0.3801034	0.3743299
"2025-04-23 09:15:00"	0.0355166	0.059984	0.1919349	0.2298597	0.2106698	0.3299359	0.3551777	0.3798801	0.3758282
"2025-04-23 09:30:00"	0.0363937	0.0595273	0.1932831	0.2286485	0.2119367	0.3287928	0.3547364	0.38053	0.3747047
"2025-04-23 09:45:00"	0.0379453	0.0569629	0.1903882	0.2300861	0.2074972	0.3301243	0.3539175	0.3772471	0.3745753
"2025-04-23 10:00:00"	0.0392564	0.0570181	0.1924959	0.2276587	0.2106823	0.3265322	0.3537759	0.3805797	0.3759288
"2025-04-23 10:15:00"	0.0373394	0.0577023	0.1910536	0.2286849	0.210626	0.3277253	0.3534123	0.3814513	0.3746686
"2025-04-23 10:30:00"	0.0359899	0.0575419	0.1906515	0.2283091	0.2115407	0.3291267	0.3545552	0.379092	0.3728999
"2025-04-23 10:45:00"	0.0385084	0.0584264	0.1900903	0.2269159	0.2101209	0.3290952	0.353833	0.3810202	0.3750592
"2025-04-23 11:00:00"	0.0364692	0.0571077	0.1889232	0.2234898	0.2107089	0.3286587	0.3524784	0.3800018	0.3746397
"2025-04-23 11:15:00"	0.0391166	0.0595878	0.1883976	0.2248666	0.2119815	0.326875	0.3542914	0.3807338	0.375202
"2025-04-23 11:30:00"	0.036665	0.0552135	0.1830884	0.2258661	0.2109705	0.3280225	0.3547991	0.3809749	0.3757283
"2025-04-23 11:45:00"	0.0375531	0.0551572	0.1876634	0.2204177	0.210592	0.3302748	0.353239	0.3800301	0.3739442
"2025-04-23 12:00:00"	0.0370923	0.0569113	0.1846294	0.222354	0.2118225	0.3288826	0.3519818	0.379413	0.373626
"2025-04-23 12:15:00"	0.037631	0.0567369	0.1819104	0.2212344	0.2112865	0.3291065	0.3529993	0.3792836	0.3756714
"2025-04-23 12:30:00"	0.0385186	0.0545521	0.1818688	0.2187722	0.2127901	0.3292364	0.3527679	0.3802339	0.3755151
"2025-04-23 12:45:00"	0.0369947	0.055894	0.1793196	0.2188493	0.2111427	0.3269608	0.3525819	0.3779097	0.3744466
"2025-04-23 13:00:00"	0.0372662	0.0540539	0.1781883	0.2197234	0.2135831	0.3271913	0.3522663	0.3789383	0.3755951
"2025-04-23 13:15:00"	0.0384289	0.0568356	0.1762235	0.2183256	0.2102018	0.3305735	0.3524297	0.3790013	0.3749489
"2025-04-23 13:30:00"	0.035526	0.055185	0.1759928	0.2166944	0.2121463	0.3286839	0.3550221	0.3797723	0.3734197
"2025-04-23 13:45:00"	0.0366649	0.0556629	0.1735373	0.2156031	0.2110771	0.3298344	0.3531307	0.3815074	0.3775547
"2025-04-23 14:00:00"	0.0382818	0.0534133	0.1742908	0.2160123	0.2110211	0.3305806	0.3550257	0.3803178	0.3760205
"2025-04-23 14:15:00"	0.0386001	0.0538817	0.1727919	0.2163695	0.2120098	0.3295183	0.3548351	0.3780879	0.3747765
"2025-04-23 14:30:00"	0.0384447	0.0556012	0.1714851	0.2170617	0.2102306	0.327299	0.3531111	0.3778922	0.3747974
"2025-04-23 14:45:00"	0.0379608	0.0554595	0.1717263	0.2148675	0.2122049	0.3282673	0.3540845	0.3798935	0.3745716
"2025-04-23 15:00:00"	0.0363069	0.0541348	0.1674066	0.214485	0.2099032	0.3310499	0.3561877	0.3809309	0.3736511
"2025-04-23 15:15:00"	0.0360129	0.0553245	0.1664419	0.215511	0.2112551	0.3287009	0.3526323	0.3795669	0.3738557
"2025-04-23 15:30:00"	0.0371256	0.0545273	0.1655408	0.2167124	0.2113968	0.3275016	0.3519678	0.3816526	0.3743024
"2025-04-23 15:45:00"	0.038139	0.054986	0.1657077	0.2141983	0.2104577	0.3278007	0.3544469	0.3829204	0.3765363
"2025-04-23 16:00:00"	0.0370531	0.0554003	0.1636883	0.2138217	0.2102825	0.3329463	0.3520255	0.3812024	0.3755165
"2025-04-23 16:15:00"	0.0371197	0.0553115	0.1635752	0.2105491	0.2111072	0.3283418	0.3545496	0.3790215	0.3751702
"2025-04-23 16:30:00"	0.0366961	0.0551708	0.1640648	0.2132261	0.2109058	0.3309248	0.3556834	0.3787041	0.3754939
